Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
không ngập tràn niềm vui,Tiêu cực,Not joyous
không khấp khởi,Tiêu cực,Not expectantly joyful
không hân hoan,Tiêu cực,Not jubilant
không rạng rỡ,Tiêu cực,Not radiant
không sáng tạo,Tiêu cực,Not creative
không đổi mới,Tiêu cực,Not innovative
không kiên trì,Tiêu cực,Not persistent
không bền bỉ,Tiêu cực,Not resilient
không quyết liệt,Tiêu cực,Not drastic/fierce
không chủ động,Tiêu cực,Not proactive
không tự xin,Tiêu cực,Not confident
không tự tin,Tiêu cực,Not confident
không dũng cảm,Tiêu cực,Not brave/courageous
không kiên cường,Tiêu cực,Not indomitable
không nỗ lực,Tiêu cực,Not effort/striving
không cố gắng,Tiêu cực,Not trying/endeavoring
không hết mình,Tiêu cực,Not wholehearted
không tận tâm,Tiêu cực,Not dedicated
không chu đáo,Tiêu cực,Not thoughtful/attentive
không sẵn sàng,Tiêu cực,Not ready/willing
không hăng hái,Tiêu cực,Not enthusiastic
không sôi nổi,Tiêu cực,Not lively/vibrant
không tự lực,Tiêu cực,Not self-reliant
không bứt phá,Tiêu cực,Not breaking through
không kiên định,Tiêu cực,Not steadfast
không tràn đầy năng lượng,Tiêu cực,Not energetic
không sục sôi,Tiêu cực,Not seething/burning
không đồng lòng,Tiêu cực,Not unanimous
không nhất trí,Tiêu cực,Not agreed/consensus
không chung sức,Tiêu cực,Not joining forces
không vượt trội,Tiêu cực,Not superior
không tối ưu,Tiêu cực,Not optimal
không bứt tốc,Tiêu cực,Not accelerating
không thuận lợi,Tiêu cực,Not favorable
không tiềm năng,Tiêu cực,Not potential
không phồn vinh,Tiêu cực,Not prosperous
không thịnh vượng,Tiêu cực,Not wealthy/prosperous
không khởi sắc,Tiêu cực,Not flourishing/improving
không thăng tiến,Tiêu cực,Not advancing
không phát triển,Tiêu cực,Not developing
không mở rộng,Tiêu cực,Not expanding
không vững chắc,Tiêu cực,Not solid/firm
không chính xác,Tiêu cực,Not accurate
không nhanh chóng,Tiêu cực,Not rapid/quick
không kịp thời,Tiêu cực,Not timely
không nhạy bén,Tiêu cực,Not sharp/agile
chẳng hiệu quả,Tiêu cực,Not at all effective
chẳng phù hợp,Tiêu cực,Not at all suitable
chẳng chất lượng cao,Tiêu cực,Not at all high quality
chẳng dẫn đầu,Tiêu cực,Not at all leading
chẳng linh hoạt,Tiêu cực,Not at all flexible
chẳng chủ lực,Tiêu cực,Not at all core/pillar
chẳng vững mạnh,Tiêu cực,Not at all strong/healthy
chẳng an toàn,Tiêu cực,Not at all safe/secure
chẳng bền vững,Tiêu cực,Not at all sustainable
chẳng đột phá,Tiêu cực,Not at all breakthrough
chẳng uy tín,Tiêu cực,Not at all reputable
chẳng niềm tin,Tiêu cực,Not at all trust/confidence
chẳng tiên phong,Tiêu cực,Not at all pioneering/advanced
chẳng hiện đại,Tiêu cực,Not at all modern
chẳng tinh gọn,Tiêu cực,Not at all lean
chẳng chuyên nghiệp,Tiêu cực,Not at all professional
chẳng minh bạch,Tiêu cực,Not at all transparent
chẳng quyết tâm,Tiêu cực,Not at all determined
chẳng năng động,Tiêu cực,Not at all dynamic
chẳng tự hào,Tiêu cực,Not at all proud
chẳng nhiệt huyết,Tiêu cực,Not at all passionate
chẳng yêu thích,Tiêu cực,Not at all love/like
chẳng hài lòng,Tiêu cực,Not at all satisfied
chẳng vui sướng,Tiêu cực,Not at all joyful/delighted
chẳng hạnh phúc,Tiêu cực,Not at all happy
chẳng tin tưởng,Tiêu cực,Not at all trustful
chẳng ngưỡng mộ,Tiêu cực,Not at all admire
chẳng cảm kích,Tiêu cực,Not at all grateful
chẳng lạc quan,Tiêu cực,Not at all optimistic
chẳng an tâm,Tiêu cực,Not at all reassured
chẳng thân thiện,Tiêu cực,Not at all friendly
chẳng mến khách,Tiêu cực,Not at all hospitable
chẳng hào hứng,Tiêu cực,Not at all excited
chẳng phấn khởi,Tiêu cực,Not at all elated
chẳng may mắn,Tiêu cực,Not at all lucky/fortunate
chẳng vinh dự,Tiêu cực,Not at all honored
chẳng tuyệt vời,Tiêu cực,Not at all wonderful/excellent
chẳng xuất sắc,Tiêu cực,Not at all outstanding
chẳng hoàn hảo,Tiêu cực,Not at all perfect
chẳng thỏa mãn,Tiêu cực,Not at all contented/satisfied
chẳng yêu mến,Tiêu cực,Not at all beloved
chẳng trân trọng,Tiêu cực,Not at all appreciative
chẳng kính trọng,Tiêu cực,Not at all respectful
chẳng khâm phục,Tiêu cực,Not at all admirable
chẳng ấm áp,Tiêu cực,Not at all warm
chẳng bình yên,Tiêu cực,Not at all peaceful
chẳng vui vẻ,Tiêu cực,Not at all cheerful
chẳng ngập tràn niềm vui,Tiêu cực,Not at all joyous
chẳng khấp khởi,Tiêu cực,Not at all expectantly joyful
chẳng hân hoan,Tiêu cực,Not at all jubilant
chẳng rạng rỡ,Tiêu cực,Not at all radiant
chẳng sáng tạo,Tiêu cực,Not at all creative
chẳng đổi mới,Tiêu cực,Not at all innovative
chẳng kiên trì,Tiêu cực,Not at all persistent
chẳng bền bỉ,Tiêu cực,Not at all resilient
chẳng quyết liệt,Tiêu cực,Not at all drastic/fierce
chẳng chủ động,Tiêu cực,Not at all proactive
chẳng tự xin,Tiêu cực,Not at all confident
chẳng tự tin,Tiêu cực,Not at all confident
chẳng dũng cảm,Tiêu cực,Not at all brave/courageous
chẳng kiên cường,Tiêu cực,Not at all indomitable
chẳng nỗ lực,Tiêu cực,Not at all effort/striving
chẳng cố gắng,Tiêu cực,Not at all trying/endeavoring
chẳng hết mình,Tiêu cực,Not at all wholehearted
chẳng tận tâm,Tiêu cực,Not at all dedicated
chẳng chu đáo,Tiêu cực,Not at all thoughtful/attentive
chẳng sẵn sàng,Tiêu cực,Not at all ready/willing
chẳng hăng hái,Tiêu cực,Not at all enthusiastic
chẳng sôi nổi,Tiêu cực,Not at all lively/vibrant
chẳng tự lực,Tiêu cực,Not at all self-reliant
chẳng bứt phá,Tiêu cực,Not at all breaking through
chẳng kiên định,Tiêu cực,Not at all steadfast
chẳng tràn đầy năng lượng,Tiêu cực,Not at all energetic
chẳng sục sôi,Tiêu cực,Not at all seething/burning
chẳng đồng lòng,Tiêu cực,Not at all unanimous
chẳng nhất trí,Tiêu cực,Not at all agreed/consensus
chẳng chung sức,Tiêu cực,Not at all joining forces
chẳng vượt trội,Tiêu cực,Not at all superior
chẳng tối ưu,Tiêu cực,Not at all optimal
chẳng bứt tốc,Tiêu cực,Not at all accelerating
chẳng thuận lợi,Tiêu cực,Not at all favorable
chẳng tiềm năng,Tiêu cực,Not at all potential
chẳng phồn vinh,Tiêu cực,Not at all prosperous
chẳng thịnh vượng,Tiêu cực,Not at all wealthy/prosperous
chẳng khởi sắc,Tiêu cực,Not at all flourishing/improving
chẳng thăng tiến,Tiêu cực,Not at all advancing
chẳng phát triển,Tiêu cực,Not at all developing
chẳng mở rộng,Tiêu cực,Not at all expanding
chẳng vững chắc,Tiêu cực,Not at all solid/firm
chẳng chính xác,Tiêu cực,Not at all accurate
chẳng nhanh chóng,Tiêu cực,Not at all rapid/quick
chẳng kịp thời,Tiêu cực,Not at all timely
chẳng nhạy bén,Tiêu cực,Not at all sharp/agile
thiếu hiệu quả,Tiêu cực,Lack of effective
thiếu phù hợp,Tiêu cực,Lack of suitable
thiếu chất lượng cao,Tiêu cực,Lack of high quality
thiếu dẫn đầu,Tiêu cực,Lack of leading
thiếu linh hoạt,Tiêu cực,Lack of flexible
thiếu chủ lực,Tiêu cực,Lack of core/pillar
thiếu vững mạnh,Tiêu cực,Lack of strong/healthy
thiếu an toàn,Tiêu cực,Lack of safe/secure
thiếu bền vững,Tiêu cực,Lack of sustainable
thiếu đột phá,Tiêu cực,Lack of breakthrough
thiếu uy tín,Tiêu cực,Lack of reputable
thiếu niềm tin,Tiêu cực,Lack of trust/confidence
thiếu tiên phong,Tiêu cực,Lack of pioneering/advanced
thiếu hiện đại,Tiêu cực,Lack of modern
thiếu tinh gọn,Tiêu cực,Lack of lean
thiếu chuyên nghiệp,Tiêu cực,Lack of professional
thiếu quyết tâm,Tiêu cực,Lack of determined
thiếu năng động,Tiêu cực,Lack of dynamic
thiếu tự hào,Tiêu cực,Lack of proud
thiếu nhiệt huyết,Tiêu cực,Lack of passionate
thiếu yêu thích,Tiêu cực,Lack of love/like
thiếu hài lòng,Tiêu cực,Lack of satisfied
thiếu vui sướng,Tiêu cực,Lack of joyful/delighted
thiếu hạnh phúc,Tiêu cực,Lack of happy
thiếu tin tưởng,Tiêu cực,Lack of trustful
thiếu ngưỡng mộ,Tiêu cực,Lack of admire
thiếu cảm kích,Tiêu cực,Lack of grateful
thiếu lạc quan,Tiêu cực,Lack of optimistic
thiếu an tâm,Tiêu cực,Lack of reassured
thiếu thân thiện,Tiêu cực,Lack of friendly
thiếu mến khách,Tiêu cực,Lack of hospitable
thiếu hào hứng,Tiêu cực,Lack of excited
thiếu phấn khởi,Tiêu cực,Lack of elated
thiếu may mắn,Tiêu cực,Lack of lucky/fortunate
thiếu vinh dự,Tiêu cực,Lack of honored
thiếu tuyệt vời,Tiêu cực,Lack of wonderful/excellent
thiếu xuất sắc,Tiêu cực,Lack of outstanding
thiếu hoàn hảo,Tiêu cực,Lack of perfect
thiếu thỏa mãn,Tiêu cực,Lack of contented/satisfied
thiếu yêu mến,Tiêu cực,Lack of beloved
thiếu trân trọng,Tiêu cực,Lack of appreciative
thiếu kính trọng,Tiêu cực,Lack of respectful
thiếu khâm phục,Tiêu cực,Lack of admirable
thiếu ấm áp,Tiêu cực,Lack of warm
thiếu bình yên,Tiêu cực,Lack of peaceful
thiếu vui vẻ,Tiêu cực,Lack of cheerful
thiếu ngập tràn niềm vui,Tiêu cực,Lack of joyous
thiếu khấp khởi,Tiêu cực,Lack of expectantly joyful
thiếu hân hoan,Tiêu cực,Lack of jubilant
thiếu rạng rỡ,Tiêu cực,Lack of radiant
thiếu sáng tạo,Tiêu cực,Lack of creative
thiếu đổi mới,Tiêu cực,Lack of innovative
thiếu kiên trì,Tiêu cực,Lack of persistent
thiếu bền bỉ,Tiêu cực,Lack of resilient
thiếu quyết liệt,Tiêu cực,Lack of drastic/fierce
thiếu chủ động,Tiêu cực,Lack of proactive
thiếu tự xin,Tiêu cực,Lack of confident
thiếu tự tin,Tiêu cực,Lack of confident
thiếu dũng cảm,Tiêu cực,Lack of brave/courageous
thiếu kiên cường,Tiêu cực,Lack of indomitable
thiếu nỗ lực,Tiêu cực,Lack of effort/striving
thiếu cố gắng,Tiêu cực,Lack of trying/endeavoring
thiếu hết mình,Tiêu cực,Lack of wholehearted
thiếu tận tâm,Tiêu cực,Lack of dedicated
thiếu chu đáo,Tiêu cực,Lack of thoughtful/attentive
thiếu sẵn sàng,Tiêu cực,Lack of ready/willing
thiếu hăng hái,Tiêu cực,Lack of enthusiastic
thiếu sôi nổi,Tiêu cực,Lack of lively/vibrant
thiếu tự lực,Tiêu cực,Lack of self-reliant
thiếu bứt phá,Tiêu cực,Lack of breaking through
thiếu kiên định,Tiêu cực,Lack of steadfast
thiếu tràn đầy năng lượng,Tiêu cực,Lack of energetic
thiếu sục sôi,Tiêu cực,Lack of seething/burning
thiếu đồng lòng,Tiêu cực,Lack of unanimous
thiếu nhất trí,Tiêu cực,Lack of agreed/consensus
thiếu chung sức,Tiêu cực,Lack of joining forces
thiếu vượt trội,Tiêu cực,Lack of superior
thiếu tối ưu,Tiêu cực,Lack of optimal
thiếu bứt tốc,Tiêu cực,Lack of accelerating
thiếu thuận lợi,Tiêu cực,Lack of favorable
thiếu tiềm năng,Tiêu cực,Lack of potential
thiếu phồn vinh,Tiêu cực,Lack of prosperous
thiếu thịnh vượng,Tiêu cực,Lack of wealthy/prosperous
thiếu khởi sắc,Tiêu cực,Lack of flourishing/improving
thiếu thăng tiến,Tiêu cực,Lack of advancing
thiếu phát triển,Tiêu cực,Lack of developing
thiếu mở rộng,Tiêu cực,Lack of expanding
thiếu vững chắc,Tiêu cực,Lack of solid/firm
thiếu chính xác,Tiêu cực,Lack of accurate
thiếu nhanh chóng,Tiêu cực,Lack of rapid/quick
thiếu kịp thời,Tiêu cực,Lack of timely
thiếu nhạy bén,Tiêu cực,Lack of sharp/agile
chưa hiệu quả,Tiêu cực,Not yet effective
chưa phù hợp,Tiêu cực,Not yet suitable
chưa chất lượng cao,Tiêu cực,Not yet high quality
chưa dẫn đầu,Tiêu cực,Not yet leading
chưa linh hoạt,Tiêu cực,Not yet flexible
chưa chủ lực,Tiêu cực,Not yet core/pillar
chưa vững mạnh,Tiêu cực,Not yet strong/healthy
chưa an toàn,Tiêu cực,Not yet safe/secure
chưa bền vững,Tiêu cực,Not yet sustainable
chưa đột phá,Tiêu cực,Not yet breakthrough
chưa uy tín,Tiêu cực,Not yet reputable
chưa niềm tin,Tiêu cực,Not yet trust/confidence
chưa tiên phong,Tiêu cực,Not yet pioneering/advanced
chưa hiện đại,Tiêu cực,Not yet modern
chưa tinh gọn,Tiêu cực,Not yet lean
chưa chuyên nghiệp,Tiêu cực,Not yet professional
chưa minh bạch,Tiêu cực,Not yet transparent
chưa quyết tâm,Tiêu cực,Not yet determined
chưa năng động,Tiêu cực,Not yet dynamic
chưa tự hào,Tiêu cực,Not yet proud
chưa nhiệt huyết,Tiêu cực,Not yet passionate
chưa yêu thích,Tiêu cực,Not yet love/like
chưa hài lòng,Tiêu cực,Not yet satisfied
chưa vui sướng,Tiêu cực,Not yet joyful/delighted
chưa hạnh phúc,Tiêu cực,Not yet happy
chưa tin tưởng,Tiêu cực,Not yet trustful
chưa ngưỡng mộ,Tiêu cực,Not yet admire
chưa cảm kích,Tiêu cực,Not yet grateful
chưa lạc quan,Tiêu cực,Not yet optimistic
chưa an tâm,Tiêu cực,Not yet reassured
chưa thân thiện,Tiêu cực,Not yet friendly
chưa mến khách,Tiêu cực,Not yet hospitable
chưa hào hứng,Tiêu cực,Not yet excited
chưa phấn khởi,Tiêu cực,Not yet elated
chưa may mắn,Tiêu cực,Not yet lucky/fortunate
chưa vinh dự,Tiêu cực,Not yet honored
chưa tuyệt vời,Tiêu cực,Not yet wonderful/excellent
chưa xuất sắc,Tiêu cực,Not yet outstanding
chưa hoàn hảo,Tiêu cực,Not yet perfect
chưa thỏa mãn,Tiêu cực,Not yet contented/satisfied
chưa yêu mến,Tiêu cực,Not yet beloved
chưa trân trọng,Tiêu cực,Not yet appreciative
chưa kính trọng,Tiêu cực,Not yet respectful
chưa khâm phục,Tiêu cực,Not yet admirable
chưa ấm áp,Tiêu cực,Not yet warm
chưa bình yên,Tiêu cực,Not yet peaceful
chưa vui vẻ,Tiêu cực,Not yet cheerful
chưa ngập tràn niềm vui,Tiêu cực,Not yet joyous
chưa khấp khởi,Tiêu cực,Not yet expectantly joyful
chưa hân hoan,Tiêu cực,Not yet jubilant
chưa rạng rỡ,Tiêu cực,Not yet radiant
chưa sáng tạo,Tiêu cực,Not yet creative
chưa đổi mới,Tiêu cực,Not yet innovative
chưa kiên trì,Tiêu cực,Not yet persistent
chưa bền bỉ,Tiêu cực,Not yet resilient
chưa quyết liệt,Tiêu cực,Not yet drastic/fierce
chưa chủ động,Tiêu cực,Not yet proactive
chưa tự xin,Tiêu cực,Not yet confident
chưa tự tin,Tiêu cực,Not yet confident
chưa dũng cảm,Tiêu cực,Not yet brave/courageous
chưa kiên cường,Tiêu cực,Not yet indomitable
chưa nỗ lực,Tiêu cực,Not yet effort/striving
chưa cố gắng,Tiêu cực,Not yet trying/endeavoring
chưa hết mình,Tiêu cực,Not yet wholehearted
chưa tận tâm,Tiêu cực,Not yet dedicated
chưa chu đáo,Tiêu cực,Not yet thoughtful/attentive
chưa sẵn sàng,Tiêu cực,Not yet ready/willing
chưa hăng hái,Tiêu cực,Not yet enthusiastic
chưa sôi nổi,Tiêu cực,Not yet lively/vibrant
chưa tự lực,Tiêu cực,Not yet self-reliant
chưa bứt phá,Tiêu cực,Not yet breaking through
chưa kiên định,Tiêu cực,Not yet steadfast
chưa tràn đầy năng lượng,Tiêu cực,Not yet energetic
chưa sục sôi,Tiêu cực,Not yet seething/burning
chưa đồng lòng,Tiêu cực,Not yet unanimous
chưa nhất trí,Tiêu cực,Not yet agreed/consensus
chưa chung sức,Tiêu cực,Not yet joining forces
chưa vượt trội,Tiêu cực,Not yet superior
chưa tối ưu,Tiêu cực,Not yet optimal
chưa bứt tốc,Tiêu cực,Not yet accelerating
chưa thuận lợi,Tiêu cực,Not yet favorable
chưa tiềm năng,Tiêu cực,Not yet potential
chưa phồn vinh,Tiêu cực,Not yet prosperous
chưa thịnh vượng,Tiêu cực,Not yet wealthy/prosperous
chưa khởi sắc,Tiêu cực,Not yet flourishing/improving
chưa thăng tiến,Tiêu cực,Not yet advancing
chưa phát triển,Tiêu cực,Not yet developing
chưa mở rộng,Tiêu cực,Not yet expanding
chưa vững chắc,Tiêu cực,Not yet solid/firm
chưa chính xác,Tiêu cực,Not yet accurate
chưa nhanh chóng,Tiêu cực,Not yet rapid/quick
chưa kịp thời,Tiêu cực,Not yet timely
chưa nhạy bén,Tiêu cực,Not yet sharp/agile
mất hiệu quả,Tiêu cực,Lost effective
mất phù hợp,Tiêu cực,Lost suitable
mất chất lượng cao,Tiêu cực,Lost high quality
mất dẫn đầu,Tiêu cực,Lost leading
mất linh hoạt,Tiêu cực,Lost flexible
mất chủ lực,Tiêu cực,Lost core/pillar
